date,platform,business_name,page_url,category,followers,email,phone,website,has_website,address,last_post_date,qualification_score,status,notes,follow_up_date,open_state,hours_text,deleted_at,saved_by_user_id,saved_by_user_name
2026-06-20 04:40:50,facebook,AURA Beauty Lounge,https://facebook.com/aurabeautybd,Beauty Salon,117K followers,aurabeautybd@gmail.com,+8801799255555,http://www.aurabd.com/,true,"""""""Gold Palace""",2nd Floor,3,trashed,Dhaka,Bangladesh,"""1000""""""",3 hours ago,2026-07-04T16:15:48.445573,,
2026-06-20 15:54:57,facebook,Noor Siba,https://www.facebook.com/glamfreaksiba,Beauty,304K followers,sibanoorkhan@gmail.com,,https://tiktok.com/@noor_siba,true,Gulshan 1,"""""""Jun 20""","""2026""""""",trashed,new,,,,2026-07-04T16:15:48.728664,,
2026-06-20,facebook,AURA Beauty Lounge,https://www.facebook.com/aurabeautybd,"""""""Beauty Salon""",,,,,,,,,,,,,,,,
"""$$$""""""",117K followers,aurabeautybd@gmail.com,+8801799255555,http://www.aurabd.com/,true,"""""""Gold Palace""",2nd Floor,3,New Baily Road,Dhaka,Bangladesh,"""1000""""""","""""""Jun 20""","""2026 10:00 AM""""""",10,new,Auto-extracted via extension. Phone: +8801799255555. Email: aurabeautybd@gmail.com.,,,
2026-06-20,facebook,Chef’s Table Courtside,https://www.facebook.com/chefstableCS,"""""""In-store pickup""",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
· Dine-in,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"""· Outdoor seating""""""",257K followers,,+8801914001497,,false,"""""""United City""",Madani Avenue (Near United International University),Dhaka,Bangladesh,"""1212""""""",1d,9,new,Auto-extracted via extension. Phone: +8801914001497. Email: none.,2026-06-23,,,,,
2026-06-20,facebook,Mirror Group,https://www.facebook.com/mirrorbdgroup,,96K followers,mirrormagazineintl@gmail.com,"""""""+8801715068878""","""+8801902915860""""""",https://www.mirrorlifestyle,true,"""""""Dhaka is about to witness the biggest Bangladesh–Pakistan Fashion & Lifestyle Expo of 2026!”""",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
✨ Top Pakistani Designer Brands,,,,,,,,,,,,,,,,,,,,
✨ Bangladesh’s Leading Fashion Houses,,,,,,,,,,,,,,,,,,,,
✨ 100+ Clothing Brands,,,,,,,,,,,,,,,,,,,,
✨ 30+ Lifestyle Brands,,,,,,,,,,,,,,,,,,,,
✨ 20+ Premium Food Brands,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
🎶 Live Music & Cultural Performances,,,,,,,,,,,,,,,,,,,,
🛍️ Exclusive Shopping Experience,,,,,,,,,,,,,,,,,,,,
🤝 Fashion,Lifestyle & Business Networking,,,,,,,,,,,,,,,,,,,
🚗 Convenient Parking Facility,,,,,,,,,,,,,,,,,,,,
👥 30,000+ Expected Visitors,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
