date,source,name,address,phone,website,has_website,rating,reviews,maps_url,place_id,qualification_score,status,notes,open_state,hours_text
2026-06-20,serpapi_maps,Privé by Nahila Hedayet,"""House 23B Rd 102",Dhaka 1212,"Bangladesh""",+880 1926-649646,https://www.facebook.com/privebynahila/,true,4.3,357,https://www.google.com/maps/place/?q=place_id:ChIJlzDYZKTHVTcR3kxjKoEbCME,ChIJlzDYZKTHVTcR3kxjKoEbCME,8,,
2026-06-20,serpapi_maps,GENT'S CARE: PREMIUM SALON BASHUNDHARA,"""House-9/A",Haji Abdul Lotif Mansion,Residential Area Road,Dhaka 1229,"Bangladesh""",+880 1328-779922,,false,4.9,63,https://www.google.com/maps/place/?q=place_id:ChIJfxihuMfHVTcRu4TVmesbDCk,,
2026-06-20,serpapi_maps,Isabella Beauty & Bridal Makeover | Best Parlour in Khilgaon Dhaka | Female Spa Center,"""412 C khilgaon",Dhaka 1219,"Bangladesh""",+880 1867-852530,,false,4.8,48,https://www.google.com/maps/place/?q=place_id:ChIJDb3j6Tq5VTcRcip_c0EGjYw,ChIJDb3j6Tq5VTcRcip_c0EGjYw,10,,
2026-06-20,serpapi_maps,Style Exclusive Beauty Salon,"""34/3",(Ground Floor,Puratan Kacha Bazar,Dhaka 1209,"Bangladesh""",+880 1715-068181,,false,4.8,711,https://www.google.com/maps/place/?q=place_id:ChIJq0hfeUq_VTcRpuo4glAOHsU,,
2026-06-20,serpapi_maps,Best Beauty Parlor Service at Home | Aleya beautician,,+880 1876-530234,https://aleyabeautician.blogspot.com/,true,4.9,34,https://www.google.com/maps/place/?q=place_id:ChIJTdj_BCbHVTcRP6jjAQHroWM,ChIJTdj_BCbHVTcRP6jjAQHroWM,9,new,"""Keyword: beauty parlor",,
2026-06-20,serpapi_maps,Total Care Salon Bangladesh,"""Block K",House No,16 Rd No.28,Dhaka 1213,"Bangladesh""",+880 1619-861581,https://www.facebook.com/TCSDBD,true,4.4,76,https://www.google.com/maps/place/?q=place_id:ChIJ2xU2MI3HVTcRMc4f94yDe70,,
2026-06-20,serpapi_maps,Unimart Gulshan 2,"""House No. 23",Gulshan Centre Point,26 Rd 90,Dhaka 1212,"Bangladesh""",+880 1955-550000,https://unimart.online/,true,4.5,12473,https://www.google.com/maps/place/?q=place_id:ChIJcR21rKfHVTcRlhqUVlOWb7w,,
2026-06-20,serpapi_maps,Almas Super Shop,"""House No.71",81(new),Road No. 8,A Satmasjid Road,Dhaka 1205,"Bangladesh""",+880 1844-674483,http://www.almas.com.bd/,true,4.1,2450,,
2026-06-20,serpapi_maps,Agora,"""37",Plot-5,101 Gulshan Ave,Dhaka 1212,"Bangladesh""",+880 9612-311167,,false,4.2,3450,https://www.google.com/maps/place/?q=place_id:ChIJb8Htl6HHVTcRorbstwANQXA,,
2026-06-20,serpapi_maps,Banani Super Market,"""44 Kemal Ataturk Ave",Dhaka 1213,"Bangladesh""",,https://www.facebook.com/bananisupermarkethomedelivery/,true,4.1,14185,https://www.google.com/maps/place/?q=place_id:ChIJHWe7kA7HVTcRwFJiidB3q34,ChIJHWe7kA7HVTcRwFJiidB3q34,7,,
2026-06-20,serpapi_maps,Dhali Super Shop Ltd.,"""G-6",7,DNCC Market,Rd 98,Dhaka 1212,"Bangladesh""",+880 2-8881100,,false,4.2,784,,
2026-06-21,serpapi_maps,Clothing Fashion In Bd,"""Dhaka 1937","Bangladesh""",+880 1810-778195,,false,5,1,https://www.google.com/maps/place/?q=place_id:ChIJ-xNHHUrHVTcRUHhiel_1EYE,ChIJ-xNHHUrHVTcRUHhiel_1EYE,9,new,,
