date,platform,business_name,page_url,category,followers,email,phone,website,has_website,address,last_post_date,qualification_score,status,notes
2026-06-25,facebook,IFRA,https://www.facebook.com/ifra.bangladesh,fashion,11K followers,ifra.officialbd@gmail.com,+8801357085045,https://tiktok.com/@ifra_clothing,true,"Level-03, Block-C, Bashundhara City Shopping Mall, Dhaka",1w,9,new,Auto-extracted via extension.
2026-06-25,facebook,Beli mart Alhadaya,https://www.facebook.com/alhadayashop,general,23K followers,124sabbirhossain1999@gmail.com,+8801717184763,http://www.alhadayashopc.om/,true,Dhaka,1d,9,new,Auto-extracted via extension.
2026-06-25,facebook,Ambella,https://www.facebook.com/ambellabd,fashion,8.6K followers,ambella2025@gmail.com,+8801540514914,,false,,1h,9,new,Auto-extracted via extension.
2026-06-25,facebook,Asma Fashion,https://www.facebook.com/asmafashionctg,fashion,20K followers,asmafashion850@gmail.com,,https://www.facebook,true,"Block , Halishahar, Chittagong","Jun 25, 2026 11:37 AM",9,new,Auto-extracted via extension.
2026-06-25,facebook,AT Luxury Jewellers,https://www.facebook.com/atluxuryjewellers,jewelry,12K followers,atluxuryjewellers@gmail.com,,,false,Dhaka,"Jun 25, 2026 2:03 PM",10,new,Auto-extracted via extension.
2026-06-25,facebook,Plus Size Clothing BD,https://www.facebook.com/plussizeclothingbd1,fashion,118K followers,wholesalebazaarclothing@gmail.com,+8801611389555,http://www.wholesalebazaarbd.com/,true,"sector 15 Uttara, west side of Uttara Uttar Metro station, Dhaka","Jun 25, 2026 4:49 PM",10,new,Auto-extracted via extension.
2026-06-25,facebook,Arno Fashion Gallery,https://www.facebook.com/ArnoFashionGallery,fashion,48K followers,nasrinakter1510@gmail.com,+8801317408139,,false,"House-50, Jhawlahati Chowrasta, Ashrafabad, Kamrangirchar, Dhaka","Jun 24, 2026 12:11 PM",10,new,Auto-extracted via extension.
2026-06-25,facebook,The Hawkers,https://www.facebook.com/thehawkersbd,general,159K likes,thehawkersbd@gmail.com,+8801312893183,,false,Dhaka,"Jun 24, 2026 10:23 PM",10,new,Auto-extracted via extension.
2026-06-25,facebook,Dhaka Shop BD,https://www.facebook.com/dhakashopchinabd,retail,3.3K followers,mamunhasanprince@gmail.com,+8801754980665,,false,Dhaka,"Jun 24, 2026 10:09 AM",10,new,Auto-extracted via extension.
2026-06-25,facebook,Boys Gift Shop,https://www.facebook.com/profile.php?id=61554334586497,retail,10K followers,,+8801627572881,,false,Dhaka,2h,9,new,Auto-extracted via extension.
2026-06-25,facebook,Rainbowmart,https://www.facebook.com/ourrainbowmart,general,247K followers,ourrainbowmart@gmail.com,+8801742689007,,false,Dhaka,43m,9,new,Auto-extracted via extension.
2026-06-26,facebook,Mohavir Life style,https://www.facebook.com/MohavirFashion,fashion,54K followers,mohavirfashion@gmail.com,+8801611451581,,false,"Road)Dhaka-1205 & 218,New Elephant Road,Bata Signal,Dhaka-1205 , Dhaka, Bangladesh, 1205
Dhaka, Dhaka",22h,10,new,Auto-extracted via extension.
2026-06-26,facebook,Glamgrl,https://www.facebook.com/glamgrl.com.bd,general,1.4M followers,info@glamgrl.com.bd,+8801407055100,http://www.glamgrl.com.bd/,true,"Road 16(new) 27(old), Shop 15,Level 3, Dhanmondi, Dhaka, Bangladesh, 1209
Rangpur, Rangpur Division, Bangladesh · Khulna, Khulna",1m,9,new,Auto-extracted via extension.
2026-06-26,facebook,Miss Organic Bangladesh,https://www.facebook.com/fromvillagEarth,services,59K followers,missorganicbangladesh@gmail.com,"+8801913488684, +8801913515013",https://missorganicbangladesh.com/,true,Dhaka,2h,9,new,Auto-extracted via extension.
2026-06-26,facebook,Butter & Grace Khilgaon,https://www.facebook.com/profile.php?id=61589431926592,restaurant,1.5K likes,buttergrace95@gmail.com,+8801319125897,,false,"Level-3, Taltola Khilgaon Road, (Beside Taltola Market) 1219 Dhaka, Bangladesh., Dhaka","Jun 24, 2026 8:14 PM",10,new,Auto-extracted via extension.
2026-06-26,facebook,Cluf,https://www.facebook.com/clufonlineshopping,fashion,58K followers,clufbd@gmail.com,+8801840311117,https://clufbd.com/,true,"road 15 avenue 2 Mirpur DOHS, Dhaka",5d,9,new,Auto-extracted via extension.
2026-06-26,facebook,"Sellirio 
(Online Shop)",https://www.facebook.com/sellirio,retail,80K followers,support@sellirio.com,+8801918311422,https://tiktok.com/@sellirio_bd,true,"Level 4 (Lift 3), New Market City Complex, Dhaka, Bangladesh, 1000
Chittagong Division · Rangpur Division · Sylhet",6h,9,new,Auto-extracted via extension.
2026-06-26,facebook,Pot Of Jewellery,https://www.facebook.com/PotOfJewellery.bd,jewelry,7.1K followers,,,https://www.instagram,true,Dhaka,6m,7,new,Auto-extracted via extension.
2026-06-26,facebook,London Spree,https://www.facebook.com/londonspree.bd,general,32K followers,,,,false,Dhaka,"Jun 26, 2026 3:24 PM",9,new,Auto-extracted via extension.
2026-06-26,facebook,Baago.shop.bd,https://www.facebook.com/Baago.shop.bd,general,30K followers,baagoshop@gmail.com,+8801329607127,http://baagoshop.shop/,true,Dhaka,"Sep 26, 2025 12:17 AM",6,new,Auto-extracted via extension.
2026-06-26,facebook,Lady Cart BD,https://www.facebook.com/ladycartbd,general,3.3K followers,,+8801962618205,,false,Dhaka,"Jun 26, 2026 12:43 AM",10,new,Auto-extracted via extension.
2026-06-26,facebook,Treasure,https://www.facebook.com/treasurebytabassum,fashion,148K followers,treasure90908@gmail.com,+8801810763177,https://www.facebook,true,Chittagong,18h,9,new,Auto-extracted via extension.
2026-06-26,facebook,Perryco,https://www.facebook.com/profile.php?id=61572421354684,general,252K followers,perryco.official@gmail.com,+8801752082649,,false,Dhaka,8h,9,new,Auto-extracted via extension.
2026-06-26,facebook,Sara’s Collection,https://www.facebook.com/sarasscollectionn,general,29K followers,sa.piuly1996@gmail.com,+8801789435497,,false,Dhaka,6d,10,new,Auto-extracted via extension.
